smiles,logS
O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-1.23
O=c1c(C(CC(O)c2ccc(-c3ccc(Br)cc3)cc2)c2ccccc2)c(O)oc2ccccc12,-4.445
O=c1c(C2CCCc3ccccc32)c(O)oc2ccccc12,-2.84
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-3.083
O=c1cc[nH]c(=O)[nH]1,-1.4880000000000002
O=c1cc[nH]c(=S)[nH]1,-2.273
O=c1cc[nH]cc1,1.02
O=c1cccc[nH]1,1.02
O=c1nc2nccnc2c[nH]1,-1.947
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-1.8
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,-3.37
OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,-5.666
OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,-4.38
OC(c1ccccc1)C(O)c1ccccc1,-1.93
OC(c1ccccc1)c1ccccc1,-2.55
OC1C(O)C(O)C(O)C(O)C1O,0.35
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46
OC1CCCCC1,-0.44
OC1CCCCCC1,-0.88
OC1CCCCCCC1,-1.29
OC1COC(O)C(O)C1O,0.39
OCC(O)C(O)C(O)C(O)CO,1.09
OCC(O)C(O)CO,0.7
OCC(O)C1OC2OC(C(Cl)(Cl)Cl)OC2C1O,-1.84
OCC(O)CO,1.12
OCC1OC(O)(CO)C(O)C1O,0.64
OCC1OC(O)C(O)C(O)C1O,0.74
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.79
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-0.244
OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.41
OCCOc1ccccc1,-0.7
OCc1ccccc1,-0.4
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
Oc1[nH]c(O)c2c1C1C=C(C(O)(c3ccccc3)c3ccccn3)C2C1=C(c1ccccc1)c1ccccn1,-3.931
Oc1[nH]c(O)c2ccccc12,-2.932
Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O,-5.931
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-3.37
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
Oc1c(Cl)cc(Cl)cc1Cl,-2.34
Oc1c(Cl)ccc(Cl)c1Cl,-2.64
Oc1c(Cl)cccc1Cl,-1.79
Oc1c2c(c(O)n1SC(Cl)(Cl)C(Cl)Cl)CC=CC2,-5.4
Oc1c2ccccc2cc2ccccc12,-4.73
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-3.15
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
Oc1cc(Cl)cc(Cl)c1,-1.34
Oc1cc(Cl)cc(Cl)c1Cl,-2.67
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,-4.46
Oc1cc2c(cc1O)=C1c3ccc(O)c(O)c3OCC1(O)C=2,-2.7
Oc1ccc(-c2ccccc2)cc1,-3.48
Oc1ccc(Br)cc1,-1.09
Oc1ccc(Cl)c(Cl)c1,-1.25
Oc1ccc(Cl)c(Cl)c1Cl,-2.67
Oc1ccc(Cl)cc1,-0.7
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,-3.953
Oc1ccc(Cl)cc1Cl,-1.55
Oc1ccc(O)[nH]1,0.3
Oc1ccc(O)cc1,-0.17
Oc1ccc2c(c1)CCCC2,-1.99
Oc1ccc2ccccc2c1,-2.28
Oc1ccc2ncccc2c1,-2.16
Oc1cccc(Cl)c1,-0.7
Oc1cccc(Cl)c1Cl,-1.3
Oc1cccc(O)c1,0.81
Oc1cccc2ccccc12,-2.22
Oc1cccc2cccnc12,-2.42
Oc1cccc2ncccc12,-2.54
Oc1ccccc1,0.0
Oc1ccccc1Cl,-1.06
Oc1ccccc1O,0.62
Oc1csc(=S)[nH]1,-1.77
S=c1[nH]c2ccccc2s1,-3.18
Sc1ccccc1,-2.12
c1cc2c3c(c4ccc5ccccc5c4cc3c1)CC2,-7.85
c1cc2c3c(cccc3c1)CC2,-4.63
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,-9.332
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,-7.11
c1ccc(-c2ccccc2)cc1,-4.345
c1ccc(C2CO2)cc1,-1.6
c1ccc(CCc2ccccc2)cc1,-4.62
c1ccc(Cc2ccccc2)cc1,-4.08
c1ccc(N=Nc2ccccc2)cc1,-4.45
c1ccc(NNc2ccccc2)cc1,-2.92
c1ccc(Nc2ccccc2)cc1,-3.504
c1ccc(Oc2ccccc2)cc1,-3.96
c1ccc2[nH]ccc2c1,-1.52
c1ccc2[nH]ncc2c1,-2.16
c1ccc2[nH]nnc2c1,-0.78
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-8.23
c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0
c1ccc2c(c1)CCC2,-3.04
c1ccc2c(c1)CCCC2,-4.37
c1ccc2c(c1)CCN2,-1.04
c1ccc2c(c1)Cc1c-2ccc2ccccc12,-6.68
c1ccc2c(c1)Cc1cc3ccccc3cc1-2,-8.04
c1ccc2c(c1)Cc1ccccc1-2,-5.0
c1ccc2c(c1)[nH]c1ccccc12,-5.27
c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,-7.8
c1ccc2c(c1)c1ccccc1c1ccccc21,-6.726
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,-8.699
c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,-7.87
c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057
c1ccc2c(c1)ccc1ccccc12,-5.26
c1ccc2c(c1)cnc1ccccc12,-2.78
c1ccc2c(c1)oc1ccccc12,-4.6
c1ccc2c(c1)sc1ccccc12,-4.38
c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,-8.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,-8.49
c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
c1ccc2cc3ccccc3cc2c1,-6.35
c1ccc2ccccc2c1,-3.6
c1ccc2cnccc2c1,-1.45
c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,-5.4
c1ccc2nc3ccccc3cc2c1,-3.67
c1ccc2ncccc2c1,-1.3
c1ccc2ocnc2c1,-1.16
c1ccc2scnc2c1,-1.5
c1ccccc1,-1.64
c1ccncc1,0.76
c1ccnnc1,1.1
c1ccoc1,-0.82
c1ccsc1,-1.33
c1cnc2c(c1)ccc1ncccc12,-2.68
c1cnc2ncncc2n1,0.02
c1cncnc1,1.1
